linestring,code,distance,grammesCO2saved,route_name,from,to
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92920,54.59730],[-5.92902,54.59725],[-5.92892,54.59721],[-5.92872,54.59706],[-5.92871,54.59702],[-5.92768,54.59707],[-5.92758,54.59630],[-5.92755,54.59611],[-5.92752,54.59610],[-5.92755,54.59608],[-5.92744,54.59512],[-5.92739,54.5947]",39023923,483,90,City Hall to Alfred Street / St Malachy's Church,City Hall ,Alfred Street / St Malachy's Church
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92920,54.59730],[-5.92902,54.59725],[-5.92892,54.59721],[-5.92872,54.59706],[-5.92871,54.59702],[-5.92869,54.59684],[-5.92867,54.59660],[-5.92864,54.59632],[-5.92860,54.59606],[-5.92852,54.59553],[-5.92990,54.59546],[-5.92985,54.59502],[-5.92974,54.59415],[-5.92959,54.59292],[-5.92985,54.59245],[-5.92994,54.59228],[-5.93003,54.59212],[-5.93009,54.59186],[-5.93014,54.59185],[-5.93034,54.59143],[-5.93058,54.59092],[-5.93068,54.59074],[-5.93113,54.58987],[-5.93113,54.58983],[-5.93112,54.58980],[-5.93172,54.58974],[-5.93197,54.58972],[-5.93230,54.58968],[-5.93291,54.58963],[-5.93347,54.58957],[-5.93365,54.58952],[-5.93369,54.58951],[-5.93377,54.58952],[-5.93398,54.58952],[-5.93418,54.58950],[-5.93428,54.58939],[-5.93432,54.58935],[-5.93448,54.58921],[-5.93514,54.58835],[-5.93517,54.58835],[-5.93551,54.58825],[-5.93558,54.58824]",39023924,1427,266,City Hall to Bradbury Place,City Hall ,Bradbury Place
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.93017,54.59739],[-5.93021,54.59745],[-5.93030,54.59820],[-5.93034,54.59853],[-5.93042,54.59907],[-5.93036,54.59918],[-5.93031,54.59928],[-5.93034,54.59937],[-5.93036,54.59944],[-5.93073,54.60014],[-5.93099,54.60067],[-5.93115,54.60103],[-5.93126,54.60133]",39023925,513,96,City Hall to Royal Avenue / Castlecourt,City Hall ,Royal Avenue / Castlecourt
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92894,54.59733],[-5.92872,54.59734],[-5.92887,54.59859],[-5.92926,54.59857],[-5.92907,54.59883],[-5.92859,54.59926],[-5.92852,54.59931],[-5.92878,54.59938],[-5.92849,54.59950],[-5.92804,54.59965],[-5.92774,54.59974],[-5.92753,54.59980],[-5.92737,54.59985],[-5.92717,54.59992],[-5.92666,54.60009],[-5.92613,54.60027],[-5.92594,54.60034],[-5.92577,54.60039],[-5.92562,54.60044],[-5.92494,54.60066],[-5.92460,54.60072],[-5.92485,54.60136],[-5.92493,54.60152],[-5.92502,54.60157],[-5.92514,54.60160],[-5.92568,54.60141],[-5.9258,54.60137]",39023926,879,164,City Hall to Cotton Court / Waring Street,City Hall ,Cotton Court / Waring Street
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92920,54.59730],[-5.92902,54.59725],[-5.92892,54.59721],[-5.92872,54.59706],[-5.92871,54.59702],[-5.92768,54.59707],[-5.92758,54.59630],[-5.92755,54.59611],[-5.92752,54.59610],[-5.92755,54.59608],[-5.92744,54.59512],[-5.92732,54.59422],[-5.92729,54.59387],[-5.92720,54.59316],[-5.92711,54.59242],[-5.92707,54.59241],[-5.92666,54.59232],[-5.92660,54.59231],[-5.92620,54.59222],[-5.92602,54.59218],[-5.92592,54.59215],[-5.92579,54.59212],[-5.92562,54.59203],[-5.92528,54.59194],[-5.92433,54.59169],[-5.92434,54.59165],[-5.92434,54.59162],[-5.92433,54.59157],[-5.92429,54.59153],[-5.92421,54.59150],[-5.92413,54.59148],[-5.92399,54.59149],[-5.92390,54.59147],[-5.92342,54.59134],[-5.92340,54.59129],[-5.92337,54.59125],[-5.92333,54.59123],[-5.92329,54.59121],[-5.92322,54.59118],[-5.92315,54.59117],[-5.92309,54.59117],[-5.92302,54.59118],[-5.92295,54.59119],[-5.92290,54.59121],[-5.92286,54.59123],[-5.92282,54.59127],[-5.92241,54.59116],[-5.92206,54.59107],[-5.92204,54.59110],[-5.92235,54.59118],[-5.92234,54.59119],[-5.92261,54.59127]",39023927,1169,218,City Hall to Gasworks (Lagan Towpath),City Hall ,Gasworks (Lagan Towpath)
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92920,54.59730],[-5.92902,54.59725],[-5.92892,54.59721],[-5.92872,54.59706],[-5.92871,54.59702],[-5.92869,54.59684],[-5.92867,54.59660],[-5.92864,54.59632],[-5.92867,54.59626],[-5.92872,54.59620],[-5.92878,54.59615],[-5.92885,54.59610],[-5.92895,54.59605],[-5.92981,54.59602],[-5.92996,54.59601],[-5.92994,54.59584]",39023928,351,65,City Hall to Linenhall Street / Donegall Square South,City Hall ,Linenhall Street / Donegall Square South
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92894,54.59733],[-5.92872,54.59734],[-5.92862,54.59735],[-5.92769,54.59739],[-5.92771,54.59757]",39023929,222,41,City Hall to Arthur Street / Chichester Street,City Hall ,Arthur Street / Chichester Street
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92894,54.59733],[-5.92872,54.59734],[-5.92862,54.59735],[-5.92769,54.59739],[-5.92712,54.59742],[-5.92651,54.59744],[-5.92480,54.59751],[-5.92398,54.59755],[-5.92392,54.59755],[-5.92377,54.59754],[-5.92300,54.59755],[-5.92288,54.59754],[-5.92275,54.59752],[-5.92263,54.59749],[-5.92162,54.59754],[-5.92147,54.59754],[-5.92147,54.59750],[-5.92127,54.59699],[-5.92122,54.59665],[-5.92120,54.59658],[-5.92116,54.59651],[-5.92111,54.59646],[-5.92105,54.59642],[-5.92096,54.59638],[-5.92084,54.59635],[-5.92050,54.59636],[-5.92033,54.59637],[-5.92033,54.59640],[-5.92031,54.59644],[-5.92027,54.59647],[-5.92022,54.59649],[-5.92016,54.59649],[-5.92010,54.59649],[-5.92005,54.59648],[-5.92000,54.59645],[-5.91997,54.59642],[-5.91996,54.59639],[-5.91997,54.59636],[-5.91999,54.59633],[-5.92003,54.59630],[-5.92008,54.59628],[-5.92015,54.59628],[-5.92014,54.59618],[-5.92010,54.59583],[-5.92008,54.59578],[-5.92005,54.59575],[-5.92000,54.59573],[-5.92012,54.59565],[-5.92011,54.59561],[-5.92011,54.59555],[-5.91920,54.59559],[-5.91920,54.59553],[-5.91919,54.59548],[-5.91917,54.59538]",39023930,1010,188,City Hall to Central Station / East Bridge Street,City Hall ,Central Station / East Bridge Street
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92894,54.59733],[-5.92872,54.59734],[-5.92887,54.59859],[-5.92926,54.59857],[-5.92907,54.59883],[-5.92859,54.59926],[-5.92852,54.59931],[-5.92878,54.59938],[-5.92849,54.59950],[-5.92804,54.59965],[-5.92774,54.59974],[-5.92753,54.59980],[-5.92813,54.60046],[-5.92822,54.60054],[-5.92810,54.60059],[-5.92805,54.60064],[-5.92784,54.60072],[-5.92763,54.60079],[-5.92777,54.60093],[-5.92823,54.60141],[-5.92834,54.60152],[-5.92864,54.60182],[-5.92902,54.60220],[-5.92908,54.60226],[-5.92916,54.60233],[-5.92936,54.60253],[-5.92957,54.60275],[-5.92964,54.60273],[-5.92979,54.60268]",39023931,915,171,City Hall to Writer's Square / St Anne's Cathedral,City Hall ,Writer's Square / St Anne's Cathedral
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92894,54.59733],[-5.92872,54.59734],[-5.92887,54.59859],[-5.92926,54.59857],[-5.92907,54.59883],[-5.92859,54.59926],[-5.92852,54.59931],[-5.92878,54.59938],[-5.92849,54.59950],[-5.92804,54.59965],[-5.92774,54.59974],[-5.92753,54.59980],[-5.92737,54.59985],[-5.92717,54.59992],[-5.92666,54.60009],[-5.92613,54.60027],[-5.92594,54.60034],[-5.92577,54.60039],[-5.92562,54.60044],[-5.92494,54.60066],[-5.92460,54.60072],[-5.92442,54.60073],[-5.92425,54.60076],[-5.92333,54.60095],[-5.92224,54.60115],[-5.92213,54.60119],[-5.92210,54.60120],[-5.92173,54.60123],[-5.92096,54.60126],[-5.91982,54.60121],[-5.91922,54.60115],[-5.91904,54.60112],[-5.91895,54.60114],[-5.91861,54.60104],[-5.91830,54.60192],[-5.91812,54.60230],[-5.91794,54.60239],[-5.91783,54.60254],[-5.91751,54.60301],[-5.91744,54.60304],[-5.91734,54.60306],[-5.91717,54.60309],[-5.91664,54.60309],[-5.91648,54.60309],[-5.91630,54.60310],[-5.91522,54.60312],[-5.91462,54.60313],[-5.91380,54.60315],[-5.91312,54.60317],[-5.91310,54.60320],[-5.91306,54.60326],[-5.91297,54.60332],[-5.91287,54.60343],[-5.91285,54.60352],[-5.91287,54.60361],[-5.91288,54.60365],[-5.91288,54.60366],[-5.91285,54.60372],[-5.91308,54.60380],[-5.91312,54.60383],[-5.91287,54.60404],[-5.91287,54.60416],[-5.91297,54.60453],[-5.91290,54.60455],[-5.91274,54.60458],[-5.91257,54.60461],[-5.91245,54.60467],[-5.91224,54.60483],[-5.91212,54.60505],[-5.91204,54.60537],[-5.91194,54.60546],[-5.91176,54.60557],[-5.91144,54.60578],[-5.91131,54.60572]",39023932,2002,373,City Hall to Titanic Quarter,City Hall ,Titanic Quarter
